Gene,FM_mean,HC_mean,FC,d_cohen,p_MW,p_Welch,p_female_only,p_male_only,p_sex_adjusted,Robust_5of5
TCEA2,6.3261,9.4931,0.666,-0.332,0.00140803,0.02455081,0.02900568,0.71170446,0.08164542,3
CNOT7,4.8954,3.3202,1.474,0.186,0.46777426,0.20117078,0.82486548,0.48343223,0.08208562,0
NPEPL1,19.2512,25.0075,0.77,-0.28,0.0093256,0.05627785,0.00143957,0.57388325,0.08216199,2
ACOT8,11.7238,20.2827,0.578,-0.518,1.796e-05,0.000493,0.00360029,0.88048261,0.08219072,3
DCAF5,17.5207,22.928,0.764,-0.31,0.00020163,0.03413127,0.00056637,0.29995754,0.08222041,3
TXNDC12,8.8899,13.0936,0.679,-0.475,0.00011189,0.00134473,0.00218649,0.88048261,0.08244699,3
SGSH,17.4194,21.8139,0.799,-0.257,0.00140803,0.0782309,0.00041426,0.67117575,0.08266147,2
FERMT3,109.6724,172.0394,0.637,-0.465,1.2e-06,0.00163508,0.00035675,0.6120509,0.08271437,3
RNF146,3.1633,3.1411,1.007,0.007,0.47022338,0.96168276,0.08522212,0.48343223,0.08280266,0
CMTM3,20.7042,41.4839,0.499,-0.463,7.3e-07,0.00189892,0.00571527,0.85894553,0.08282724,3
BRWD1,6.0257,4.6837,1.287,0.32,0.04505905,0.0288769,0.27713094,0.46626286,0.08290435,2
HSPA6,22.3047,31.4382,0.709,-0.283,0.05600299,0.05429033,0.01413255,0.98909653,0.08293786,1
FAM98C,10.6065,14.9054,0.712,-0.346,3.058e-05,0.01837245,0.00096788,0.7949782,0.08299339,3
NBPF9,2.9271,1.9175,1.527,0.386,0.00200649,0.0085466,0.08702191,0.5928362,0.08301986,2
JAK1,83.1149,116.6558,0.712,-0.313,2.123e-05,0.03239121,0.000205,0.5928362,0.0832744,3
PXN,79.6555,116.0017,0.687,-0.424,3.992e-05,0.00397261,0.00461811,0.31330231,0.08327601,3
TRPM4,4.2477,4.4943,0.945,-0.042,0.51721586,0.77580151,0.99607635,0.08827147,0.0837635,0
NDUFV1,39.5203,56.7285,0.697,-0.428,2.13e-06,0.00362673,2.52e-06,0.06787552,0.08394161,3
ATP6V0C,58.566,116.2469,0.504,-0.599,2.1e-07,6.341e-05,0.00042203,0.71170446,0.08404058,3
PDE6D,3.9545,3.2122,1.231,0.156,0.04534131,0.28415985,0.0545049,0.54417848,0.08409707,1
COASY,13.2492,18.0298,0.735,-0.367,0.00027281,0.01245849,0.0052191,0.67117575,0.08418532,3
RAB30,1.4154,1.0039,1.41,0.184,0.15436391,0.20637565,0.13428722,0.7949782,0.08444657,0
SFMBT1,4.1227,3.3789,1.22,0.184,0.28318097,0.20628366,0.29038061,0.75300697,0.08467463,0
TMEM134,39.9555,63.3692,0.631,-0.443,4e-08,0.0026359,2.99e-06,0.71170446,0.08484621,3
PPM1M,17.1994,26.0993,0.659,-0.472,3.19e-06,0.00139779,0.00014976,0.92378602,0.0848857,3
BLCAP,4.5647,6.5872,0.693,-0.248,7.45e-06,0.09057861,1.289e-05,0.98909653,0.08506645,2
POLH,4.435,3.4776,1.275,0.196,0.23395721,0.17922714,0.59194671,0.25018521,0.0852474,0
POP4,4.6701,4.0402,1.156,0.134,0.6435082,0.35757864,0.21434458,0.81049955,0.08530643,0
IGKC,126.7232,317.9512,0.399,-0.432,0.00038222,0.00371732,0.0464124,0.08827147,0.08542772,3
HSPA7,39.7403,50.1221,0.793,-0.199,0.00415886,0.17175417,0.00136785,0.6120509,0.08542802,2
CASP10,6.2815,5.33,1.179,0.182,0.07496378,0.21162225,0.08085546,0.20613999,0.0854345,0
MYC,28.8261,36.5844,0.788,-0.296,0.00071308,0.04285759,0.00201342,0.73226424,0.08556364,3
SCML4,12.7075,16.3393,0.778,-0.226,0.01478357,0.12226193,0.01596922,0.51871531,0.08560612,2
RNF11,2.9936,5.8857,0.509,-0.48,2e-08,0.00118079,0.0001252,0.10004523,0.08590704,3
ANAPC16,6.012,5.6973,1.055,0.033,0.17453046,0.81922959,0.16853551,0.370282,0.08591067,0
PPIL4,5.1859,4.6018,1.127,0.144,0.80772278,0.32271684,0.92165297,0.6120509,0.08609562,0
HIVEP1,11.2219,15.1743,0.74,-0.403,9.813e-05,0.00612005,0.00348857,0.88048261,0.08617833,3
INTS5,19.1643,27.1542,0.706,-0.356,0.00013894,0.0152598,0.00033088,0.65123214,0.08630967,3
HSD17B4,7.9716,11.5761,0.689,-0.405,0.002233,0.0061158,0.00902147,0.370282,0.08633868,3
TECTA,2.1593,1.5449,1.398,0.411,0.00336411,0.00522218,0.02164652,0.71170446,0.08635399,3
NFASC,1.2768,0.7681,1.662,0.469,0.00027281,0.00149603,0.00915204,0.90209945,0.0863651,3
ZBTB16,5.1989,6.5395,0.795,-0.207,0.26225633,0.1580422,0.02430613,0.75300697,0.0863753,1
EPSTI1,3.6247,6.1123,0.593,-0.305,9.813e-05,0.03726104,0.00261623,0.11983122,0.08645683,3
GSTO1,16.8153,33.4388,0.503,-0.536,2.817e-05,0.00033496,0.00461811,0.85894553,0.0864616,3
DCPS,4.3264,7.275,0.595,-0.512,4.12e-06,0.00057235,0.00050756,0.98909653,0.08656215,3
DHX34,17.7882,25.4384,0.699,-0.394,8.41e-05,0.0073787,0.00040663,0.816179,0.08685942,3
IMP4,15.4506,21.9084,0.705,-0.394,0.00303408,0.00758416,0.01492449,0.65123214,0.08690959,3
NCOA7,4.697,4.14,1.135,0.143,0.16624003,0.32736826,0.12495892,0.11983122,0.08704591,0
UBR1,6.061,5.5218,1.098,0.147,0.53282101,0.31301885,0.25597208,0.92378602,0.08724779,0
DIP2A,25.1127,29.481,0.852,-0.184,0.00388772,0.20753442,0.00047157,0.44942115,0.08729542,2
KDM2B,24.3905,29.8513,0.817,-0.234,0.00708183,0.10934106,0.00327453,0.53681325,0.08741975,2
SAMD8,1.7397,2.1301,0.817,-0.353,0.02240835,0.01645682,0.1496261,0.16766616,0.08750474,2
GGT1,1.6205,1.9125,0.847,-0.048,0.00021636,0.7430985,0.00508772,0.38605514,0.08761236,2
ASB6,6.6353,8.3376,0.796,-0.201,0.01303348,0.1680889,0.00955394,0.75300697,0.08780703,2
USP16,5.1502,4.2623,1.208,0.242,0.01722901,0.0987105,0.22077139,0.43290855,0.08803537,1
BTBD1,14.1086,20.1611,0.7,-0.438,0.00028139,0.00301062,0.00288193,0.88048261,0.08818515,3
MARS2,5.9506,7.0248,0.847,-0.184,0.24135413,0.20773109,0.18589149,0.02339707,0.08822836,1
PSMA7,26.867,51.86,0.518,-0.571,9.91e-06,0.00014182,0.0016481,0.57388325,0.08838558,3
TMUB2,6.5163,10.3449,0.63,-0.346,0.0001466,0.01830928,0.0016206,0.83750782,0.08849588,3
KIAA1328,1.7539,1.4861,1.18,0.159,0.08125495,0.27732467,0.01025872,1.0,0.08850311,1
GPKOW,7.2165,10.1478,0.711,-0.347,0.00630393,0.01840541,0.01011425,0.50091734,0.08878569,3
FHL1,5.3726,4.4001,1.221,0.091,0.88684677,0.5286017,0.68677002,0.46626286,0.08907599,0
EHD4,2.6817,4.0866,0.656,-0.471,8.694e-05,0.00143084,0.00383356,0.85894553,0.08908189,3
ERLIN1,2.6627,2.455,1.085,0.059,0.84291982,0.6827908,0.51305573,0.48948052,0.08919901,0
NBEAL2,115.0113,158.8901,0.724,-0.416,0.00014196,0.00474952,0.0012342,0.48343223,0.08945064,3
COL5A2,1.5956,0.9719,1.642,0.528,9.09e-06,0.00036733,0.00803537,0.816179,0.08959419,3
USP8,6.9073,10.9569,0.63,-0.399,0.08218786,0.00713778,0.50677068,0.227454,0.08960166,1
PORCN,7.196,10.5801,0.68,-0.381,0.00080061,0.00976198,0.02309099,0.05129462,0.08982575,3
ZNF264,8.0036,10.3904,0.77,-0.195,0.0196005,0.18231242,0.0236918,0.94552275,0.08990341,2
CSF2RB,41.0162,86.9276,0.472,-0.463,4.74e-06,0.00194284,0.00017882,0.88048261,0.08990519,3
CSNK1A1,8.7709,8.5323,1.028,0.027,0.07281564,0.85327093,0.23018145,0.4009022,0.08998246,0
TACC3,23.7494,32.8131,0.724,-0.411,0.00061617,0.00530087,0.00327453,0.85894553,0.09002522,3
LONP2,16.6994,20.9969,0.795,-0.193,0.01015154,0.18580964,0.00644294,0.34107567,0.09020145,2
CSF3R,200.146,427.6187,0.468,-0.535,1.7e-07,0.00034157,0.0002685,0.46626286,0.09020711,3
INO80,8.7766,8.3574,1.05,0.054,0.22774606,0.70823753,0.32053802,0.07259907,0.0902094,0
PENK,2.8598,2.0716,1.38,0.207,0.00314716,0.15609838,0.0003408,0.66164793,0.0903397,2
LTN1,5.7258,5.3535,1.07,0.1,0.50694547,0.49051141,0.19251982,0.20613999,0.09049883,0
ARHGAP12,3.0965,2.8672,1.08,0.075,0.10671759,0.60508486,0.00815303,0.7949782,0.09055796,1
PRDM8,4.4507,5.6502,0.788,-0.306,0.01015154,0.03736423,0.08000424,0.16766616,0.09059242,2
CYP3A4,1.9239,1.3452,1.43,0.374,0.016423,0.01073122,0.07991765,0.88048261,0.09087097,2
ANXA5,18.4804,33.2039,0.557,-0.51,4.581e-05,0.00062124,0.01685076,0.63152163,0.09087419,3
VSIG1,3.0484,2.347,1.299,0.227,0.23388155,0.1196631,0.33011009,0.52559347,0.09088256,0
CRYZ,2.2578,1.8644,1.211,0.159,0.01589007,0.27725333,0.03424979,0.54381921,0.09088272,2
SIPA1L3,21.8468,27.78,0.786,-0.313,0.00012073,0.03266893,0.00201342,0.69133573,0.09100558,3
RASGRF2,5.6682,4.0994,1.383,0.355,0.0022529,0.01556515,0.10254487,0.08827147,0.09103182,2
KDM3A,25.4341,34.8459,0.73,-0.255,0.03131496,0.08310623,0.01180886,0.43290855,0.09105602,2
TSPO,33.4818,69.3449,0.483,-0.522,1.3e-07,0.00046507,7.233e-05,0.50091734,0.09112751,3
RB1CC1,7.6507,9.7628,0.784,-0.433,0.00109537,0.00335989,0.01375066,0.77391449,0.09117651,3
MATR3,15.6207,12.7945,1.221,0.174,0.52585608,0.23188351,0.59876179,0.17677365,0.09118143,0
UBR5,16.0355,15.7588,1.018,0.026,0.54866087,0.85834632,0.75296996,0.77391449,0.09139587,0
APEH,18.015,27.3618,0.658,-0.415,1.692e-05,0.00485555,6.94e-05,0.51871531,0.09145349,3
SPAG9,8.158,11.7418,0.695,-0.447,0.00516273,0.00267627,0.0742476,0.88048261,0.09146068,2
EGFR,1.0701,0.6355,1.684,0.429,0.00235425,0.00353531,0.03124331,0.68251085,0.09151789,3
SNORA67,70.0484,47.1858,1.485,0.266,0.12003916,0.06820194,0.13621653,0.16766616,0.09165288,0
BRI3BP,3.7478,4.9837,0.752,-0.249,0.00030867,0.0888907,0.00139138,0.1129434,0.09166756,2
SLC26A11,13.7989,16.2029,0.852,-0.178,0.00849344,0.22107658,0.00274615,0.94552275,0.09189937,2
IL6R,64.7812,114.4116,0.566,-0.455,7.869e-05,0.00221829,0.0007162,0.77391449,0.09207344,3
BLNK,3.3011,2.9273,1.128,0.122,0.30772631,0.40276221,0.05090466,0.27434987,0.09214108,0
OSTM1,4.9652,8.5864,0.578,-0.455,2.3e-07,0.0020954,1.379e-05,0.83750782,0.09223368,3
PAQR8,9.1359,12.5914,0.726,-0.297,0.00127185,0.04385843,0.00072913,0.69133573,0.09264312,3
SRD5A2,0.1866,0.1386,1.346,0.215,0.0575973,0.14128657,0.00765501,0.45205643,0.09281659,1
PRPF40A,14.9559,14.3277,1.044,0.047,0.97559904,0.74541816,0.61941725,0.23864024,0.09294516,0
ZNF548,9.795,14.0674,0.696,-0.305,0.00754695,0.03787051,0.00257419,0.18622027,0.09308668,3
KANK3,1.8761,2.4415,0.768,-0.182,0.1043927,0.21413906,0.021626,0.96624806,0.09320095,1
CDC27,4.1295,3.5005,1.18,0.167,0.33497058,0.25151959,0.10890511,0.55520734,0.09327452,0
RMRP,802.8623,1388.649,0.578,-0.292,0.00085806,0.04595513,0.00453248,0.10531214,0.09334838,3
ZNF117,7.7793,6.8595,1.134,0.091,0.00023106,0.5359894,0.00058734,0.1960065,0.09344756,2
CNOT10,6.1708,6.2475,0.988,-0.014,0.64446698,0.92282075,0.71226254,0.09402198,0.0934593,0
CRISPLD2,6.732,12.2708,0.549,-0.544,0.00036336,0.0002856,0.02557631,0.92378602,0.0935162,3
TRIP4,3.4991,4.8668,0.719,-0.312,0.05773157,0.03454622,0.17547705,0.08827147,0.0935592,1
AKIRIN1,3.506,3.3272,1.054,0.027,0.00810268,0.85104296,0.05032394,0.58225951,0.09369327,1
NEU3,6.2183,8.1807,0.76,-0.27,0.00298204,0.06508702,0.02309099,0.16766616,0.09383108,2
ZNF75A,1.3129,1.1852,1.108,0.078,0.60865291,0.58992263,0.0935625,0.96729961,0.09389559,0
RAB35,40.4291,58.6659,0.689,-0.359,2.3e-06,0.01434607,0.00098497,0.27434987,0.09395398,3
RNASET2,30.2843,59.9648,0.505,-0.425,4.795e-05,0.00442313,0.00498591,0.55520734,0.0946084,3
POLR1B,6.9603,5.7569,1.209,0.175,0.75464713,0.23012878,0.18918426,0.77391449,0.09465639,0
TTC38,13.395,19.5076,0.687,-0.358,0.00452188,0.0153035,0.01596922,0.6120509,0.09473664,3
SYPL1,5.0943,6.7156,0.759,-0.324,0.02773909,0.02738243,0.04749717,0.15044329,0.09488152,3
MXRA8,2.3596,2.7225,0.867,-0.147,0.01424851,0.31359093,0.00757947,0.11983122,0.0951451,2
EIF2AK3,4.3014,3.7097,1.159,0.174,0.70073368,0.23147854,0.3063748,0.385418,0.09514917,0
NDEL1,8.3652,13.7735,0.607,-0.455,0.00101588,0.00227975,0.00383356,0.53681325,0.09515651,3
IFI44L,1.8153,1.3157,1.38,0.271,0.0147834,0.06377912,0.12255664,0.227454,0.09523068,1
AMMECR1L,1.6226,2.0257,0.801,-0.165,0.28198295,0.26034703,0.3990174,0.82145278,0.09523622,0
TCP11L1,2.9712,2.7576,1.077,0.078,0.41800535,0.59199506,0.84405934,0.32701011,0.09536174,0
DNAJC10,7.3677,6.913,1.066,0.078,0.20313218,0.59087617,0.17159723,0.12701804,0.09543283,0
GNA13,55.6853,87.9453,0.633,-0.361,0.00031184,0.01464861,0.0022227,0.94552275,0.09580999,3
KIFAP3,3.1629,3.2606,0.97,-0.027,0.62174483,0.85590795,0.045343,0.94552275,0.09581249,1
MAP3K11,36.614,51.2688,0.714,-0.358,1.977e-05,0.01481997,0.00056637,0.94552275,0.09582575,3
RRP12,15.7834,20.7132,0.762,-0.359,0.00842718,0.01484637,0.01575527,0.98909653,0.09596678,3
PTAFR,13.7894,39.3165,0.351,-0.558,1e-08,0.00021336,0.00025842,0.48343223,0.09631219,3
CXXC1,29.8435,35.8354,0.833,-0.249,0.01478357,0.08896502,0.02430613,0.816179,0.09640847,2
PNPLA6,47.3247,66.7724,0.709,-0.415,6.1e-06,0.00479137,9.633e-05,0.83750782,0.09643965,3
PRR19,1.1681,0.3571,3.271,0.291,0.00692287,0.04653658,0.00657457,0.9087216,0.09648497,3
UNC119,21.0768,44.8853,0.47,-0.626,1.8e-07,3.326e-05,0.00053621,0.57388325,0.09670093,3
HEXIM1,34.7469,53.2766,0.652,-0.33,1.7e-07,0.02431663,8.19e-06,0.15044329,0.09733102,3
MNDA,27.2357,77.849,0.35,-0.514,9.2e-06,0.00068452,0.00803537,0.29995754,0.09744599,3
RAB3IL1,0.752,0.4395,1.711,0.408,0.05699605,0.0055624,0.171505,0.64158697,0.09745076,1
PPP6R2,20.9876,26.8352,0.782,-0.33,0.00188429,0.02445765,0.00360029,0.51871531,0.09761474,3
PPIE,4.473,4.8973,0.913,-0.06,0.52239116,0.67893304,0.47277707,0.55520734,0.09763991,0
RARA,40.1316,73.0035,0.55,-0.562,3e-08,0.00015765,5.076e-05,0.67117575,0.09790971,3
ZEB1,3.1682,2.726,1.162,0.171,0.0079762,0.24164578,0.05767117,0.46626286,0.09807582,1
FOXN3,25.3396,34.1837,0.741,-0.296,0.00073409,0.0433085,0.00146424,0.4009022,0.09818767,3
TUBGCP2,21.1211,30.1525,0.7,-0.514,1.796e-05,0.00052697,0.00078306,0.55520734,0.09835901,3
PTGER2,51.6451,69.4743,0.743,-0.335,0.00013894,0.02225458,0.00029535,0.77391449,0.09839167,3
SNORA71C,170.3728,242.4792,0.703,-0.353,1.555e-05,0.01605052,0.00074228,0.48343223,0.09852684,3
DCC,2.7465,1.9047,1.442,0.313,0.00823118,0.03264,0.02430613,0.53681325,0.0985642,3
TSC1,6.025,5.8708,1.026,0.031,0.12131207,0.82959062,0.27280657,0.04428548,0.09862091,1
CALCOCO2,14.1067,16.1487,0.874,-0.146,0.39989826,0.31854053,0.4607343,0.48343223,0.09888322,0
SENP6,9.5879,8.8088,1.088,0.08,0.06867046,0.58395611,0.01707771,0.816179,0.09910497,1
VIPR1,6.7729,8.2142,0.825,-0.242,0.05532287,0.09855301,0.03242344,0.71170446,0.09912035,1
OR1N1,1.1702,0.5971,1.96,0.313,0.00063487,0.03241591,0.0088343,0.98853274,0.09921562,3
GOT1,5.1395,4.3962,1.169,0.121,0.80360466,0.40679499,0.23018084,0.06339176,0.09922898,0
UBE2R2,8.278,17.6724,0.468,-0.518,7.8e-07,0.00053319,0.00062016,0.65123214,0.09933788,3
DYNC1LI2,7.296,10.0126,0.729,-0.315,3.094e-05,0.03122688,0.0005265,0.35550187,0.0993454,3
POLR3H,4.2976,6.8571,0.627,-0.422,9.7e-05,0.00429778,0.00109299,0.37421673,0.09954567,3
OR2T33,2.6435,1.4832,1.782,0.417,0.00092399,0.00456044,0.03404754,0.4009022,0.09956407,3
TOR1A,6.0096,9.7623,0.616,-0.496,1.361e-05,0.00082574,0.00185301,0.5928362,0.09976754,3
TMX4,4.6308,8.2531,0.561,-0.393,0.00375826,0.0079267,0.00791915,0.83750782,0.0997685,3
TMEM185B,5.9192,8.2398,0.718,-0.264,6.153e-05,0.07146975,0.00062016,0.227454,0.09980433,2
LRRC58,3.0949,4.9996,0.619,-0.42,0.00303408,0.00473948,0.04030257,0.07756718,0.09993463,3
SMYD2,2.9533,2.4475,1.207,0.142,0.81390941,0.32772228,0.83253123,0.53681325,0.09996207,0
ZNF189,3.4934,6.1541,0.568,-0.266,0.11443941,0.07122361,0.45477724,0.75300697,0.10020755,0
CSNK2A1,6.1146,6.1064,1.001,0.002,0.5398323,0.9911692,0.00876531,0.26208651,0.10053251,1
RAP1GAP2,17.7553,22.0479,0.805,-0.225,0.02272333,0.12379451,0.03531501,0.32701011,0.10093724,2
GCC1,5.3292,6.9866,0.763,-0.263,0.00263997,0.07228412,0.00673662,0.55520734,0.10103089,2
GIMAP8,12.1378,16.2426,0.747,-0.338,0.00200649,0.02142555,0.00736033,0.90209945,0.10133268,3
AIP,61.3754,88.296,0.695,-0.416,0.00010366,0.00476116,0.00127735,0.75300697,0.10138095,3
LRPAP1,9.7217,14.2263,0.683,-0.343,0.00010595,0.01946096,0.00476217,0.4009022,0.10180743,3
PDXK,14.7464,20.3049,0.726,-0.303,0.00018728,0.03890083,0.00225946,0.1588897,0.10187532,3
FUT4,4.4964,6.9606,0.646,-0.402,3.53e-06,0.00639306,0.00074228,0.55520734,0.10188101,3
CDK13,14.7884,20.7887,0.711,-0.5,4.85e-05,0.00074343,0.01283555,0.7949782,0.10188515,3
ZNF865,25.1675,36.3288,0.693,-0.354,1.12e-05,0.01614329,0.00011555,0.77391449,0.10208563,3
TXLNG,1.5123,1.0193,1.484,0.33,0.01255488,0.02434297,0.2080655,0.65123214,0.10227243,2
SUMF1,3.2212,4.9875,0.646,-0.46,0.00106491,0.00189491,0.00693903,0.85894553,0.10253965,3
NEK6,6.1906,12.9168,0.479,-0.463,2.7e-07,0.00183938,4.666e-05,0.67117575,0.10263588,3
FKBP1B,0.7485,0.9816,0.763,-0.132,0.75562776,0.36706844,0.94099823,0.68027919,0.10267768,0
TRIM62,12.6302,17.6195,0.717,-0.299,0.00211697,0.04172666,0.00229677,0.77391449,0.10274263,3
DDX17,548.1909,698.9681,0.784,-0.192,4.18e-05,0.18699298,0.00015276,0.83750782,0.10276769,2
CTDSP1,125.7726,185.7081,0.677,-0.462,1.093e-05,0.00176524,0.00034359,0.73226424,0.1029333,3
THOC2,10.4373,9.0814,1.149,0.19,0.0533237,0.19412885,0.30174732,0.09402198,0.10308252,0
SRCAP,9.1975,12.5954,0.73,-0.178,0.389557,0.2242101,0.07111304,0.63152163,0.10314845,0
RGS14,70.8818,97.6707,0.726,-0.384,2.817e-05,0.00893965,0.00017535,0.98909653,0.10335748,3
GALK2,5.1892,4.5469,1.141,0.099,0.71855346,0.49499478,0.96469851,0.1960065,0.10335893,0
ZCCHC9,1.4054,1.3532,1.039,0.028,0.10727798,0.84950146,0.00322152,0.92134597,0.10409125,1
IL10RA,124.5914,186.7425,0.667,-0.454,8.55e-06,0.00209309,0.00021728,0.94552275,0.10422668,3
NOD2,15.7709,21.8777,0.721,-0.385,6.436e-05,0.00887721,0.00107473,0.816179,0.10470118,3
ZNF445,4.3361,5.7412,0.755,-0.202,0.21964859,0.16844221,0.1468666,0.1588897,0.10482269,0
HAPLN3,17.9781,22.5487,0.797,-0.198,3.06e-06,0.17492126,2.505e-05,0.11983122,0.10488982,2
MAN1A2,5.8298,5.8319,1.0,-0.0,0.93323029,0.99932628,0.5194431,0.10004523,0.10504707,0
PHF12,31.7014,41.5191,0.764,-0.299,0.00065976,0.04121408,0.00076924,0.816179,0.10515007,3
ZYG11B,3.1655,3.1217,1.014,0.013,0.56293322,0.92828747,0.83637013,0.23864024,0.10517933,0
SNX6,5.5546,8.437,0.658,-0.475,0.00127185,0.00143624,0.1468666,0.23864024,0.10520691,2
DNAJC1,8.7269,13.0514,0.669,-0.49,0.00011068,0.0009439,0.01337792,0.7949782,0.10526079,3
LMF2,30.6547,41.6154,0.737,-0.367,4.741e-05,0.01244201,0.00027895,0.88048261,0.10535286,3
ZNF429,8.0667,5.4907,1.469,0.367,0.00204271,0.01229574,0.06031023,0.25018521,0.10537776,2
SNORD3A,33.3121,18.4995,1.801,0.27,0.37793969,0.06453361,0.3552226,0.07259907,0.10552529,0
MYSM1,3.5462,2.8697,1.236,0.176,0.14460388,0.226747,0.46372881,0.63152163,0.10564693,0
BTG2,34.2984,45.8545,0.748,-0.328,0.00048623,0.02532128,0.00606929,0.67117575,0.10582381,3
PHACTR4,7.0541,9.9685,0.708,-0.384,0.00213592,0.00913027,0.02936945,0.6120509,0.10584719,3
SSB,4.3757,3.6058,1.214,0.186,0.0093981,0.20263568,0.00506251,0.7949782,0.10584895,2
MTHFSD,4.2379,3.106,1.364,0.124,0.07366878,0.3911395,0.36816353,0.90209945,0.10592864,0
MIER1,4.0911,3.8645,1.059,0.06,0.31664001,0.68319809,0.61249754,0.17677365,0.10595044,0
TCERG1,22.3945,20.4228,1.097,0.133,0.75060848,0.36261543,0.48807113,0.5928362,0.10596853,0
RAB3GAP2,12.3462,11.583,1.066,0.082,0.48009052,0.57383399,0.09947747,0.96729961,0.10596939,0
OR52K3P,5.2146,8.0114,0.651,-0.388,0.25110427,0.00892055,0.18103207,0.75300697,0.10598853,1
FAM32A,3.0567,4.8065,0.636,-0.388,0.01054791,0.00869108,0.02690332,0.98909653,0.10616177,3
TMUB1,11.3832,18.1289,0.628,-0.415,8.49e-05,0.00484859,0.00117102,0.98874473,0.10624961,3
LRRC28,5.8712,7.4348,0.79,-0.249,0.12519421,0.08960135,0.26640698,0.08827147,0.10627952,0
NFE2,26.8217,57.729,0.465,-0.53,1.5e-07,0.00039182,0.0001252,0.85894553,0.10632591,3
RPRD1A,10.3592,15.1961,0.682,-0.314,2.476e-05,0.03198487,0.00201342,0.0300193,0.10644081,4
BSG,71.9361,102.5014,0.702,-0.445,0.00013745,0.00255647,0.00261623,0.88048261,0.1067652,3
HERC5,5.4796,5.1312,1.068,0.057,0.35259176,0.69526949,0.0375127,0.94552275,0.10710979,1
RANBP6,2.87,2.444,1.174,0.192,0.01625845,0.18883188,0.02221459,0.71170446,0.10715287,2
CCND2,11.1999,12.3168,0.909,-0.075,0.78309995,0.608005,0.31340376,0.17677365,0.10733092,0
HRH2,25.1805,40.8765,0.616,-0.359,2.918e-05,0.01436985,0.00454757,0.34107567,0.10733156,3
BRMS1,16.5022,23.5377,0.701,-0.424,0.00060421,0.00405469,0.01132336,0.69133573,0.10734416,3
GAPVD1,12.1846,12.6073,0.966,-0.022,0.09778688,0.88182919,0.79437617,0.53681325,0.10760369,0
ARHGEF18,64.7967,77.9769,0.831,-0.213,0.00268653,0.14400292,0.00129944,0.35550187,0.10776392,2
NUP98,25.6527,24.0985,1.064,0.073,0.96711594,0.61430542,0.89048347,0.20613999,0.10782153,0
MPRIP,8.4711,9.6364,0.879,-0.168,0.00529165,0.24953291,0.00075565,0.41673557,0.10831558,2
CCPG1,2.0921,4.3717,0.479,-0.47,0.00067252,0.00169913,0.0018836,0.47192844,0.10837648,3
SLC2A1,12.2165,15.3989,0.793,-0.265,0.00306041,0.06990266,0.01685076,0.94552275,0.10840312,2
TSC2,38.5113,49.8184,0.773,-0.327,1.054e-05,0.02535641,0.00012773,0.69133573,0.10840388,3
FMNL1,152.2333,252.8689,0.602,-0.546,6.6e-07,0.00023872,0.00013561,0.75300697,0.10841009,3
FAM185A,5.0733,6.9722,0.728,-0.259,0.08846447,0.07742275,0.25391965,0.46626286,0.10846278,0
PPP3CA,9.0077,12.62,0.714,-0.35,0.000496,0.01737314,0.00506257,0.7949782,0.10848738,3
EIF2B2,9.7632,13.6613,0.715,-0.484,8.226e-05,0.00107794,0.00562973,0.44942115,0.10858227,3
XRN1,13.5663,13.988,0.97,-0.035,0.9565174,0.81181698,0.19251982,0.5928362,0.10864524,0
SIRT3,10.1153,13.1894,0.767,-0.255,0.00027281,0.08108253,0.00063147,0.55520734,0.10867719,2
DLD,4.7566,4.6201,1.03,0.031,0.89525608,0.83014046,0.74923879,0.17677365,0.10879107,0
PATZ1,13.7517,19.0124,0.723,-0.333,0.00018531,0.02315615,0.00032469,0.43290855,0.10890349,3
RPS6KB1,3.7978,3.2427,1.171,0.144,0.0577338,0.32294416,0.1510206,0.00533925,0.10895148,1
SLC6A9,1.4238,1.1022,1.292,0.224,0.00473337,0.12645034,0.00468964,0.96624642,0.10896376,2
SNORA9,24.5288,15.3643,1.596,0.403,0.19476317,0.00617573,0.94119823,0.28697196,0.10902867,1
PPP2CA,7.3836,10.9509,0.674,-0.417,0.00188429,0.00492235,0.0742476,0.06339176,0.10918626,2
OTUD5,15.4679,20.5082,0.754,-0.286,0.00013452,0.05025847,0.00047157,0.816179,0.10922505,2
BACH2,23.7214,32.562,0.729,-0.195,0.08946353,0.18445104,0.02399726,0.83750782,0.10929012,1
NISCH,52.0629,63.4788,0.82,-0.244,0.00039398,0.09412961,0.00109356,0.75300697,0.10953587,2
CHN2,2.5943,2.2553,1.15,0.126,0.21516849,0.38685083,0.03362876,0.79958329,0.10957842,1
SUPT4H1,3.5931,11.3186,0.317,-0.564,4.42e-06,0.00018776,0.00024409,0.9437684,0.10967868,3
JOSD1,1.0546,1.5199,0.694,-0.18,0.41492969,0.22049918,0.87108337,0.3590931,0.10968335,0
MED25,25.4645,41.9682,0.607,-0.494,2.953e-05,0.00091648,0.00033088,0.98909653,0.10973098,3
TMEM158,0.5804,0.9406,0.617,-0.237,0.53275472,0.10802867,0.5884723,0.45470698,0.10973849,0
ZDHHC13,3.0238,2.5785,1.173,0.168,0.14904842,0.25078894,0.10151415,0.55520734,0.11023561,0
FAM118A,17.0461,24.107,0.707,-0.285,0.00020057,0.05152003,0.00049833,0.29995754,0.11041889,2
HSD17B11,10.0777,18.6799,0.539,-0.539,0.00045345,0.00033015,0.01394045,0.88048261,0.11045769,3
