Gene,FM_mean,HC_mean,FC,d_cohen,p_MW,p_Welch,p_female_only,p_male_only,p_sex_adjusted,Robust_5of5
CTSE,0.8562,0.2275,3.763,0.851,0.0,3e-08,1.18e-06,0.485501,1.43e-05,4
LCT,1.595,0.5901,2.703,0.849,1e-08,3e-08,2.295e-05,0.43290855,1.922e-05,4
RGPD3,3.065,1.3641,2.247,0.855,3.5e-07,2e-08,0.00019717,0.32701011,2.241e-05,4
CLTA,24.6236,49.1057,0.501,-0.808,0.0,1.3e-07,4.17e-06,0.28697196,2.587e-05,4
CCDC158,2.1657,0.816,2.654,0.878,0.0,1e-08,5.184e-05,0.07259907,2.924e-05,4
ARHGDIA,118.9136,215.7598,0.551,-0.733,2e-08,1.27e-06,5.79e-06,0.16766616,4.362e-05,4
CUEDC2,14.8846,31.6018,0.471,-0.731,2e-08,1.49e-06,3.1e-07,1.0,4.421e-05,4
GOPC,2.5244,3.6262,0.696,-0.411,0.00152932,0.00543156,7.694e-05,0.44942115,4.641e-05,4
PCCB,8.5662,5.5396,1.546,0.377,0.00206104,0.01021913,0.00188409,0.00329822,5.124e-05,5
MGAT1,97.2938,203.308,0.479,-0.633,2e-08,2.411e-05,7.7e-07,0.35550187,5.345e-05,4
TMEM9B,8.0108,15.8726,0.505,-0.675,0.0,7.71e-06,3.7e-06,0.06787552,5.478e-05,4
CBFA2T3,7.467,12.6198,0.592,-0.636,2.55e-06,2.543e-05,0.00019336,0.46626286,6.157e-05,4
HNRNPM,25.5555,44.7723,0.571,-0.725,6e-08,1.63e-06,6.81e-06,0.31330231,6.638e-05,4
FAM13C,1.2471,0.4819,2.588,0.834,1.8e-07,5e-08,0.00042993,0.14231835,6.939e-05,4
TRAPPC3,8.9938,21.3558,0.421,-0.829,3e-08,8e-08,0.00027363,0.05129462,7.193e-05,4
HK3,138.4177,284.5651,0.486,-0.712,1e-08,2.49e-06,3.37e-06,0.32701011,7.194e-05,4
PPP1R9B,52.6241,100.5595,0.523,-0.732,8e-08,1.42e-06,2.197e-05,0.29995754,7.221e-05,4
ARHGAP30,136.0777,250.9367,0.542,-0.739,2e-08,1.05e-06,4.37e-06,0.48343223,7.367e-05,4
UPF3A,6.8782,10.2177,0.673,-0.467,0.00052639,0.00163797,5.406e-05,0.53681325,8.124e-05,4
ITGAD,3.4338,1.6441,2.089,0.647,3.3e-07,1.561e-05,0.00010237,0.1129434,8.274e-05,4
ADAM28,3.8206,1.9085,2.002,0.823,5.2e-07,8e-08,3.111e-05,0.21662026,8.56e-05,4
NPY2R,0.5916,0.2181,2.713,0.699,1.46e-05,3.45e-06,0.00072147,0.15647129,8.613e-05,4
COL18A1,13.0221,22.3993,0.581,-0.537,5.622e-05,0.00034263,2.103e-05,0.55520734,8.88e-05,4
THAP9,2.5917,1.1173,2.32,0.691,5.9e-07,4.2e-06,9.245e-05,0.13451295,9.219e-05,4
LYSMD3,2.3732,1.2282,1.932,0.528,0.00314066,0.00038114,0.00107473,0.5928362,0.00010078,4
KIAA0586,4.905,3.6659,1.338,0.514,3.812e-05,0.00051688,0.00017194,0.04107563,0.00010489,5
BDNF,0.6035,0.1748,3.454,0.764,2.6e-07,5.7e-07,5.493e-05,0.11741673,0.00010873,4
COL4A6,4.1922,1.9699,2.128,0.885,3e-08,1e-08,0.00037738,0.27434987,0.00011066,4
SPTLC2,10.0625,18.3868,0.547,-0.644,4e-08,1.87e-05,8.97e-06,0.21662026,0.00011705,4
KITLG,0.3828,0.1361,2.814,0.81,1.314e-05,1.3e-07,0.00205132,0.94357633,0.0001206,4
PLEC,205.9599,358.301,0.575,-0.683,5.2e-07,5.51e-06,5.27e-06,0.71170446,0.00012362,4
MRPS26,8.9459,15.9317,0.562,-0.502,1e-07,0.00070081,9.83e-06,0.05510871,0.00012405,4
OGFR,16.2676,28.7541,0.566,-0.696,1e-08,3.62e-06,4.69e-06,0.15044329,0.00012776,4
IER5,2.8527,6.3423,0.45,-0.633,1e-08,3.242e-05,9.61e-06,0.16766616,0.00013274,4
PPP1R15A,10.2893,19.2316,0.535,-0.692,4.6e-07,4.93e-06,1.178e-05,1.0,0.00013362,4
DNAJC27,10.6742,1.0028,10.645,0.663,0.0,1.327e-05,3.79e-06,0.05129462,0.00013634,4
MAOA,0.4202,0.1461,2.876,0.791,5e-08,1.9e-07,0.0005193,0.4317403,0.00014221,4
TRIM52,4.1449,6.0316,0.687,-0.475,1.796e-05,0.0013397,1.41e-05,0.50091734,0.00014328,4
SLC7A5P2,8.5417,20.6046,0.415,-0.388,0.00026448,0.00907975,0.00017194,0.227454,0.00014388,4
PIGQ,17.7034,26.3413,0.672,-0.571,5.52e-06,0.00012502,8.701e-05,0.57388325,0.00014829,4
TACR1,0.5461,0.2,2.731,0.605,0.00099468,5.47e-05,0.00873334,0.9437265,0.00015821,4
