p_group_only,p_group_sex,p_full_adj,beta_group_full,top_cell_type,top_cell_p,survives,Gene
0.11809857424276117,0.0715375736547982,0.19268608795999512,0.15895401744490717,T_cells_CD8,0.012576498807355223,NO,SNAPC1
0.0008212724838480882,0.001565045394660708,0.07542753779628292,-0.2974723694711351,B_cells,0.01109665341151031,NO,TGFA
0.2443718508351222,0.38087386922960853,0.9936886544643535,0.0013055004720312036,Basophils,8.414109958269713e-05,NO,ATF1
0.6137184637326077,0.5717983849135736,0.3937282155439298,-0.17437852569282233,T_cells_Treg,0.00020275800633689868,NO,FBLN7
0.9853878625132051,0.12823272270713473,0.4098015928410235,0.08873702842129796,Eosinophils,0.004788191439664122,NO,MAP3K21
0.0475703539452614,0.05427470581214792,0.6768002855162029,-0.09092061105413846,Mast_cells,0.003087452168048767,NO,DDIT4
0.7369913400356193,0.3209244366002799,0.10860102002265973,0.24070209306722176,NK_cells,0.0008891293849175504,NO,WWP1
0.4484858894072803,0.7530862769589944,0.9888995655242946,-0.00225990853507421,T_cells_CD8,0.13396998427387752,NO,LIMA1
0.4069104219522436,0.4394193152579943,0.0009156830367182605,0.4808674148389884,Platelets,0.00016747395752024822,SI,CLCN3
0.0005582360718937358,0.019696022292184846,0.3311592618711697,0.10660446574226608,Basophils,3.5579171391211274e-05,NO,C4orf51
0.00045201795311423617,0.047177784892958936,0.8781068623647315,-0.011383995143029357,T_cells_Treg,0.00018384952447411245,NO,SLC30A8
0.00042797984717931107,0.001039913449925458,0.12320093256776098,-0.20442981711394828,Eosinophils,0.0004762486065866577,NO,TXLNA
0.0304826847644344,0.034294593001776175,0.6326880208599363,-0.1027095174068322,Mast_cells,0.00016361549614149612,NO,ASB8
0.7814490847633444,0.9977355165394909,0.9851845689436657,0.0038502080373135072,B_cells,0.004276719317024247,NO,AK1
0.3096253733147215,0.7984636507398354,0.319400739866408,0.13322145032292873,T_cells_CD8,0.0028844143616485168,NO,EMC7
0.02706500708490791,0.39297220788109,0.41290606773677657,0.16060374856077791,NK_cells,0.0032872258215049777,NO,CNOT3
0.018853086669062314,0.327051039851859,0.33952741724018815,0.11334599833338285,NK_cells,0.00010131663344027177,NO,PCF11
0.6933347710372586,0.9505963461278732,0.14451689118483077,0.2618241832823001,T_cells_CD8,0.02166904959411507,NO,ZNF350
0.0013932997698755105,0.03308998945857498,0.8178949830864816,0.046255573511033675,Eosinophils,0.008700649520850328,NO,HMGN1P4
0.0657741259574957,0.16327479859670382,0.7723165004327752,0.0328611400792293,Mast_cells,0.003153554941750926,NO,SPDYE20P
0.09571689016467454,0.961857679499516,0.3141239192308784,-0.12527140053324565,Eosinophils,0.008855944200471816,NO,TERF1P7
0.012660801762790346,0.06406505584933028,0.9745747481508098,0.005328512345611443,Eosinophils,0.005845547317760154,NO,HSPE1P5
8.15284995675988e-05,0.014064923395127563,0.622962884257477,0.055416068875086044,T_cells_Treg,0.0011817638556825352,NO,KLHL41
1.0951592390083317e-08,6.462885108446224e-07,0.0009302222823120331,0.28176635262979405,Eosinophils,0.004338706795653333,SI,OR51E1
7.876093692867916e-06,0.004168195383626626,0.8008787467859739,0.07458288340192382,NK_cells,9.326321527479198e-11,NO,IFI30
1.5278764013748342e-06,5.658658687100665e-05,0.004855168623292567,-0.418145516813852,Mast_cells,0.002260265882878718,SI,DIPK2A
0.9448118594962683,0.4308863697183097,0.1953332718575049,0.22923339575824475,Basophils,0.15808374934042022,NO,FAHD1
8.861439174389582e-09,1.0223658371311021e-05,0.00011250329423109622,0.4059781094134897,Mast_cells,2.048595459262059e-06,SI,ZNF578
0.19625266623778367,0.3604088564333547,0.8594576269378266,0.032865745275901984,Mast_cells,0.00023108337302099908,NO,PYGO2
0.02939707612973153,0.05359443508151946,0.18085660689918426,-0.29196242685745344,T_cells_CD8,0.0012287237048360768,NO,SLC25A22
0.6188811421635081,0.9799991278386371,0.027503854853689853,-0.4737353064958651,Mast_cells,1.9185783596730716e-07,SI,CFHR3
0.01386721579284896,0.12963587569378984,0.43162220981385874,0.08450317840298364,Mast_cells,0.1065171980746499,NO,RP11-2E11.6
0.018115001520877933,0.014526386430038072,0.14868025958642705,-0.27227066081180973,Mast_cells,0.013305693553229563,NO,LTBP3
0.011290705424047106,0.17742213028771928,0.8757535378115922,0.015795285910563374,Eosinophils,0.0017921369629715473,NO,SPRY1
0.09798387600850815,0.06777926985478258,0.6128547226531894,0.1105127588274736,Mast_cells,0.008806706303223447,NO,AC138623.1
