gene_id,log2FC,p_value,p_adj,gene_symbol
7895158,-0.2456840318407955,0.0042281694803678,0.5057001490554077,
7895421,-0.2508994089552239,0.0047147812201735,0.5057001490554077,
8101174,0.1019538606965171,0.0035976384009921,0.5057001490554077,CCDC158
7960464,0.1093300557213927,0.0044579583243504,0.5057001490554077,VWF
8015490,-0.1042826149253759,0.0046027145904968,0.5057001490554077,DNAJC7
8156581,-0.1338878208955227,0.004635542269495,0.5057001490554077,C9orf102
8061094,0.0812972318407956,0.0045807707584287,0.5057001490554077,PCSK2
8110032,-0.1025646706467657,0.0048490780763888,0.5057001490554077,C5orf41
7991742,0.0623341432835831,0.0036006298042214,0.5057001490554077,MPG
8107578,-0.1697695701492527,0.0048728502230841,0.5057001490554077,SRFBP1
8034130,0.1730025910447752,0.0046107653814956,0.5057001490554077,KANK2
8146353,-0.0750307184079597,0.0041325782266463,0.5057001490554077,
8089106,-0.0425579383084588,0.0039017323454399,0.5057001490554077,
7909422,0.1077422208955205,0.0038364258260357,0.5057001490554077,MIR205
8103755,-0.0927710447761205,0.0040725613794318,0.5057001490554077,FBXO8
8005449,0.0905573731343283,0.0051867021882941,0.5115278441951817,KRT17
8100007,0.0740014228855709,0.0051925522220611,0.5115278441951817,PHOX2B
8013089,-0.158541154228855,0.0052095072427536,0.5116842556400293,
7925753,0.094356199004975,0.0054885947513054,0.512033742173171,
8079931,0.0858654865671626,0.0054074636789883,0.512033742173171,SLC38A3
7988033,0.2973958208955221,0.0053933813005503,0.512033742173171,EPB42
8005089,-0.0885062547263677,0.005475307171008,0.512033742173171,COX10
8038925,-0.192168423880596,0.0053856263588526,0.512033742173171,ZNF615
8097670,-0.1168073731343302,0.0054915454404658,0.512033742173171,MMAA
8049876,0.1019311582089548,0.0055043371260582,0.512033742173171,BOK
8043465,-0.2380531104477619,0.0052375446254786,0.512033742173171,IGKC
7936494,0.0872766666666668,0.0053448816720751,0.512033742173171,GFRA1
7938812,-0.0975234726368148,0.0054222692240902,0.512033742173171,TMEM86A
8102162,-0.1595376039800999,0.0053512648912981,0.512033742173171,INTS12
8173086,0.0937423522388058,0.0055052431059253,0.512033742173171,FGD1
7977868,-0.0891953651741284,0.0054881567188716,0.512033742173171,C14orf93
8124394,-0.2096647442786077,0.0053517361895851,0.512033742173171,HIST1H2BB
7895033,0.1525430845771112,0.0052725164896192,0.512033742173171,
7934840,0.0520085253731346,0.0054578621797114,0.512033742173171,
8039692,-0.1544648378109467,0.0053359155658311,0.512033742173171,ZNF814
8141305,-0.0811041094527365,0.0052988800946388,0.512033742173171,ZNF394
7913787,-0.1361538447761203,0.0054833257091909,0.512033742173171,C1orf201
8117054,0.0911198089552236,0.0055697503548727,0.5165904667582147,CAP2
7896360,0.1940766965174134,0.0055854853232511,0.5166108466897001,
8110631,0.0785039363184072,0.0056642011122531,0.5215683502713411,BTNL9
8152255,-0.1132744577114444,0.0056860771585577,0.5215683502713411,SLC25A32
7895629,-0.1040992855721398,0.0056760436067023,0.5215683502713411,
8154951,0.0895458706467664,0.0057066196156102,0.5220145970905908,GLUL
7917359,-0.179841970149253,0.0057315835074033,0.5228617425918107,ZNHIT6
8057620,0.0943801890547275,0.0057935679953146,0.5229476185133825,COL5A2
8117304,0.0657356557213937,0.0057642657185732,0.5229476185133825,SLC17A4
8133049,-0.1711877611940284,0.0057953470652442,0.5229476185133825,ZNF107
7948534,0.1253899900497526,0.005781501117367,0.5229476185133825,DDB1
