gene_id,log2FC,p_value,p_adj
8138474,0.10187962189054822,0.0022168023235886575,0.4332043937678483
7932186,-0.11869116815920577,0.0022364536811793354,0.4332043937678483
8145291,0.1388750845771174,0.00221184480168045,0.4332043937678483
7965245,0.1417196636815925,0.002257082856734813,0.4332043937678483
8133856,-0.0853295323383092,0.002213301741453107,0.4332043937678483
8021984,-0.15366816716417908,0.0022849258372734673,0.4347495748782551
8120022,-0.09538136915423046,0.0023019540677625457,0.43550093519482663
8002082,0.12133809353233804,0.00233233563857929,0.43629089751558775
8095435,0.06678205174129292,0.0023251884857323274,0.43629089751558775
8119396,0.1423601870646758,0.002419412644934837,0.44044576525800516
8124156,0.10192126368159204,0.0024013685384755086,0.44044576525800516
8085112,0.11351617910447764,0.0024152906424465197,0.44044576525800516
8117020,-0.12681243184079705,0.002433913590037329,0.44044576525800516
8043413,0.23610032835821126,0.0024219801691453997,0.44044576525800516
8167880,0.12104296318408014,0.0023701231598882828,0.44044576525800516
8163107,-0.17749096716417956,0.002458579310970086,0.44250440712092404
8040073,0.09969188059701395,0.0024890237027901437,0.44557538834302907
7946504,-0.10927214328358037,0.002546067693034193,0.44916239085906234
8107518,-0.20354993631840923,0.002536074985079404,0.44916239085906234
8023968,0.22099796815920492,0.002549529743591398,0.44916239085906234
7917304,0.14587079800995006,0.0026073932612169994,0.4491686303163453
8033385,0.09282871442786078,0.0026215344396186774,0.4491686303163453
7893080,-0.2136666407960197,0.00261868770631816,0.4491686303163453
8006148,-0.10077112437811131,0.0026249659688259274,0.4491686303163453
7904923,0.13109713432835823,0.0026305037364233214,0.4491686303163453
8058458,0.15149707263681478,0.0026207866789904597,0.4491686303163453
7894939,-0.34436228258706514,0.0027074289141107264,0.4576104596606338
7912863,0.10215820099502526,0.002704774486536379,0.4576104596606338
7999532,0.19536639800994848,0.002748213986743828,0.45983558350054893
8041781,-0.15223718805970243,0.002747774297312683,0.45983558350054893
8174389,0.07816554427860734,0.0027676741324083446,0.4607762279340033
7969390,-0.2544146547263688,0.0028194556382373356,0.467061763116361
7959173,0.1920453333333345,0.0028528452850331318,0.4679368938706807
8117640,-0.13868181094527365,0.002842978620297948,0.4679368938706807
8161405,-0.16635482388059764,0.002937739597455207,0.4771605628120294
8053751,-0.16635482388059764,0.002937739597455207,0.4771605628120294
7984353,0.09200871044776182,0.0030123763499954066,0.48455601606665244
7951077,0.1536667641791034,0.0030115659777976223,0.48455601606665244
8069511,-0.2485147522388047,0.003072484868814181,0.4869012657106438
8005305,0.15044714029851214,0.003077276514556376,0.4869012657106438
7907171,-0.17294811940298516,0.003130537899607393,0.4869012657106438
