chembl_id,pref_name,smiles,molecular_weight,affinity_type,d2_affinity_nm,d3_affinity_nm,selectivity_ratio,scaffold
CHEMBL2207636,,COc1ccccc1N1CCN(Cc2cc(C#N)c3cccccc2-3)CC1,357.46,Ki,23.650,530.000,22.41,Phenylpiperazine derivative
CHEMBL110120,,OC1CCc2c(c3ccccc3n2CCCN2CCN(c3ccccc3)CC2)C1,389.54,Ki,180.000,4010.000,22.28,Other Aliphatic/Heterocyclic
CHEMBL4551518,,CCc1cc(Cl)c(OC)c(N2CCN(CCCCOc3ccc4c(c3)NC(=O)CC4)CC2)c1,472.03,Ki,1.860,40.900,21.99,Other Aliphatic/Heterocyclic
CHEMBL1946253,,Fc1ccc(CCCCN2CCCN(c3ccc(Cl)cc3)CC2)cc1,360.90,Ki,139.000,3043.000,21.89,Other Aliphatic/Heterocyclic
CHEMBL1940404,,OC1(c2ccc(Cl)cc2)CCN(CCCOc2ccc(F)cc2)CC1,363.86,Ki,5.300,115.500,21.79,Other Aliphatic/Heterocyclic
CHEMBL1940403,,OC1(c2ccc(Cl)cc2)CCN(CCCSc2ccc(F)cc2)CC1,379.93,Ki,5.300,115.500,21.79,Other Aliphatic/Heterocyclic
CHEMBL140612,,COc1ccccc1N1CCN(CCCNC(=O)c2cnn3ccccc23)CC1,393.49,Ki,11.000,235.000,21.36,Phenylpiperazine derivative
CHEMBL25938,,c1ccc(CN2CCC(c3cc(-c4ccccc4)[nH]n3)CC2)cc1,317.44,Ki,66.000,1400.000,21.21,Other Aliphatic/Heterocyclic
CHEMBL150161,,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)C1)c1ccc(F)cc1,361.84,Ki,51.100,1069.000,20.92,Other Aliphatic/Heterocyclic
CHEMBL4875081,,COc1ccc(Cl)cc1[C@H]1C[C@@H]1CNCCCOc1ccc2ccc(=O)[nH]c2c1,412.92,EC50,3.399,70.855,20.85,Other Aliphatic/Heterocyclic
CHEMBL216258,,CN1CCCc2ccccc2Cc2[nH]c3ccccc3c2CC1,304.44,Ki,13.490,277.500,20.57,Other Aliphatic/Heterocyclic
CHEMBL2105760,BREXPIPRAZOLE,O=c1ccc2ccc(OCCCCN3CCN(c4cccc5sccc45)CC3)cc2[nH]1,433.58,Ki,0.510,10.420,20.43,Other Aliphatic/Heterocyclic
CHEMBL445102,,OC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1,340.85,IC50,4.460,90.400,20.27,Other Aliphatic/Heterocyclic
CHEMBL445102,,OC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1,340.85,EC50,4.460,90.400,20.27,Other Aliphatic/Heterocyclic
CHEMBL593744,,Cn1c(CN2CCC(c3ccc(Cl)cc3)CC2)nc2ccccc21,339.87,Ki,15.850,316.230,19.95,Other Aliphatic/Heterocyclic
CHEMBL4846866,,CN1CCN(Cc2ccc(OCCCCN3CCC(c4noc5cc(F)ccc45)CC3)cc2)CC1,480.63,Ki,1.900,37.600,19.79,Phenylpiperazine derivative
CHEMBL77744,,c1ccc(CCN2CCC(c3cc(C4CCCCC4)n[nH]3)CC2)cc1,337.51,Ki,61.000,1200.000,19.67,Other Aliphatic/Heterocyclic
CHEMBL1223683,,Clc1cccc(N2CCN(CCCCNc3ccc4ccccc4n3)CC2)c1Cl,429.40,Ki,0.600,11.800,19.67,Other Aliphatic/Heterocyclic
CHEMBL1172209,,CSc1ccc(C2(O)CCN(Cc3c[nH]c4ncccc34)CC2)cc1.O=C(O)C(=O)O,353.49,Ki,254.000,4938.000,19.44,Other Aliphatic/Heterocyclic
CHEMBL344602,,N#Cc1ccc2cc(CN3CCN(c4ccc(Cl)c(Cl)c4)CC3)[nH]c2c1,385.30,Ki,1700.000,33000.000,19.41,Other Aliphatic/Heterocyclic
CHEMBL326454,,CNc1cc(OC)c(C(=O)N[C@H]2CN(Cc3ccccc3)C[C@H]2C)cc1Cl,387.91,Ki,2.650,50.900,19.21,Other Aliphatic/Heterocyclic
CHEMBL3818128,,Cl.Fc1ccc(CCCCN2CCc3ccccc3C2)cc1,283.39,Ki,317.615,6007.000,18.91,Other Aliphatic/Heterocyclic
CHEMBL1803028,,COc1cc(CN2CCN(c3ccccc3OC)CC2)ccc1OCCCc1cn(CCOCCOCCn2cc(CCCOc3ccc(CN4CCN(c5ccccc5OC)CC4)cc3OC)nn2)nn1,989.23,Ki,3.250,61.000,18.77,Other Aliphatic/Heterocyclic
CHEMBL70267,,C1=C(c2nc3ccccc3o2)CCN(Cc2ccccc2)C1,290.37,Ki,240.000,4500.000,18.75,Other Aliphatic/Heterocyclic
CHEMBL3800165,,CCCN[C@@H]1Cc2cccc3c2n(c(=O)n3CCC)C1,273.38,EC50,40.500,739.550,18.26,Other Aliphatic/Heterocyclic
CHEMBL4533305,,O=C(CCCN1CCCN(c2ccccn2)CC1)c1ccc(F)cc1,341.43,Ki,190.265,3457.185,18.17,Other Aliphatic/Heterocyclic
CHEMBL127234,,COc1ccccc1N1CCN(Cc2ccccc2CNC(=O)/C=C/c2ccccc2)CC1,441.57,Ki,18.000,325.000,18.06,Phenylpiperazine derivative
CHEMBL379662,,COc1cccc2c1Cc1ccccc1CCN(C)CC2,281.40,Ki,101.950,1833.000,17.98,Other Aliphatic/Heterocyclic
CHEMBL4096353,,COc1ccccc1N1CCN(CCCC(=O)Nc2ccn3ncc(/C=N\O)c3c2)CC1,436.52,Ki,0.745,13.000,17.45,Phenylpiperazine derivative
CHEMBL3318847,,CN(CCC(=O)OC1(c2ccc(Cl)cc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1)CCN(C)CCC(=O)OC1(c2ccc(Cl)cc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,947.99,Ki,2.700,47.000,17.41,Other Aliphatic/Heterocyclic
